      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2012-03-12 05:00:31,    157,       9.07,          22,       0.82,       17.31,        2.43,       14.13,     157,       2
2012-03-12 05:01:15,    161,       9.92,          23,       0.87,       16.23,        2.32,       14.19,     161,       2
2012-03-12 11:51:52,    161,       9.48,          23,       0.81,       16.98,        2.43,       13.77,     161,       3
2012-03-12 11:53:53,    152,       9.51,          22,       0.89,       15.98,        2.31,       14.24,     152,       0
2012-03-12 11:55:35,    136,       9.20,          19,       0.96,       14.78,        2.07,       14.23,     136,       1
2012-03-12 11:56:30,     78,       9.19,          11,       1.53,        8.49,        1.20,       12.98,      78,       0
2012-03-12 11:57:46,    168,       9.39,          24,       0.80,       17.89,        2.56,       14.33,     168,       0
2012-03-12 11:58:49,    338,       9.10,           3,       0.39,       37.14,        0.33,       14.61,     338,       1
2012-03-12 12:00:07,    349,       9.35,           4,       0.74,       37.33,        0.43,       27.66,     349,      16
2012-03-12 12:00:31,    372,       9.97,           4,       0.77,       37.31,        0.40,       28.77,     372,       0
2012-03-12 12:01:25,    358,       9.54,           4,       0.64,       37.53,        0.42,       24.09,     358,       0
2012-03-12 12:01:51,    361,       9.59,           0,       0.63,       37.64,        0.00,       23.58,     361,       5
2012-03-12 12:02:11,    186,       9.57,           0,       1.20,       19.44,        0.00,       23.28,     186,       0
2012-03-12 12:02:53,    169,       9.82,           0,       1.34,       17.21,        0.00,       23.09,     169,       1
2012-03-12 12:03:54,    163,       9.01,          23,       1.28,       18.09,        2.55,       23.15,     163,       0
2012-03-12 12:05:58,    922,       9.35,           0,       0.05,       98.61,        0.00,        4.78,     922,      15
2012-03-12 12:06:23,    969,       9.72,           0,       0.06,       99.69,        0.00,        5.71,     969,      16
2012-03-12 12:08:48,    867,       9.21,           0,       0.06,       94.14,        0.00,        5.35,     867,      11
2012-03-12 12:09:02,    920,       9.76,           0,       0.07,       94.26,        0.00,        6.87,     920,      11
2012-03-12 12:09:26,    862,       9.77,           0,       0.04,       88.23,        0.00,        3.17,     862,       0
2012-03-12 12:09:38,    860,       9.91,           0,       0.04,       86.78,        0.00,        3.23,     860,       0
2012-03-12 12:09:50,    889,       9.79,           0,       0.05,       90.81,        0.00,        4.79,     889,       0
2012-03-12 12:10:15,    831,       9.02,           0,       0.03,       92.13,        0.00,        2.74,     831,       1
2012-03-12 12:10:27,    891,       9.70,           0,       0.02,       91.86,        0.00,        2.04,     891,       0
2012-03-12 12:10:48,    906,       9.78,           0,       0.03,       92.64,        0.00,        2.99,     906,       0
2012-03-12 12:11:17,    876,       9.77,           0,       0.06,       89.66,        0.00,        5.40,     876,       0
2012-03-12 12:11:48,    855,       9.30,           0,       0.02,       91.94,        0.00,        1.78,     855,       1
2012-03-12 12:12:02,    784,       9.08,           0,       0.03,       86.34,        0.00,        2.61,     784,       0
2012-03-12 12:12:15,    797,       9.16,           0,       0.03,       87.01,        0.00,        3.03,     797,       0
2012-03-12 12:13:04,    861,       9.79,           0,       0.04,       87.95,        0.00,        3.90,     861,       0
2012-03-12 12:16:32,    833,       9.70,           0,       0.01,       85.88,        0.00,        0.99,     833,       0
2012-03-12 12:16:45,    699,       9.20,           0,       0.01,       75.98,        0.00,        0.99,     699,       0
2012-03-12 12:17:43,    693,       9.34,           0,       0.01,       74.20,        0.00,        1.00,     693,       0
2012-03-12 12:21:35,    574,       9.12,           0,       0.02,       62.94,        0.00,        0.99,     574,       0
2012-03-12 12:21:55,      0,       9.80,           0,        nan,        0.00,        0.00,        0.00,       0,     105
2012-03-12 12:22:42,     94,       9.34,          13,       0.10,       10.06,        1.39,        0.99,      94,       0
